SF,2,0.47,0.4,0.1,0.42,0.58,0.38,0.57,0.56,0.53,0.55,0.38,0.42,0.44,0.46,0.36,0.5,0.46
SF,3,0,0.67,0,0,0,0,0,0,1,0,0.5,0.5,0.5,0,0.5,0,0
SF,4,67,70,52,49,61,57,72,52,70,57,67,79,59,61,51,62,61
SF,5,331,373,267,327,397,346,444,368,387,387,317,351,404,381,371,454,311
SF,6,11,10,14,9,11,10,11,8,11,11,9,12,11,12,12,12,12
SF,7,4.9,5.3,5.1,6.7,6.5,6.1,6.2,7.1,5.5,6.8,4.7,4.4,6.8,6.2,7.3,7.3,5.1
SF,8,155,184,179,239,244,296,343,257,230,228,221,230,195,211,218,284,142
SF,9,0.46,0.63,0.62,0.59,0.6,0.71,0.63,0.85,0.68,0.69,0.7,0.66,0.74,0.65,0.68,0.63,0.75
SF,10,5.2,7.4,5.4,8.9,7.6,7.2,6.7,8.9,7.9,7.9,5.8,5.1,8.5,7.8,8.7,8.1,5.9
SF,11,9,0,32,0,9,0,26,12,10,0,1,36,0,6,16,0,36
SF,12,176,189,88,88,153,50,101,111,157,159,96,121,209,170,153,170,169
SF,13,37,45,19,22,29,16,21,23,41,28,29,34,36,34,26,27,37
SF,14,4.8,4.2,4.6,4,5.3,3.1,4.8,4.8,3.8,5.7,3.3,3.6,5.8,5,5.9,6.3,4.6
SF,15,0.33,0.4,1,0,1,0.67,0.4,0.75,0.4,1,0.33,0.4,0.67,0.5,0.2,0.67,0.67
SF,16,99,26,40,25,50,30,80,8,52,30,64,45,15,60,25,71,10
SF,17,2,0,3,0,1,3,3,0,1,0,0,1,1,0,1,1,0
SF,18,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
SF,19,0.56,0.64,0.43,0.42,0.51,0.44,0.56,0.5,0.62,0.49,0.58,0.68,0.54,0.55,0.44,0.52,0.57
CHI,1,15,11,17,16,14,20,24,22,23,19,20,14,15,15,11,9,13
CHI,2,0.36,0.14,0.43,0.33,0.4,0.38,0.61,0.4,0.63,0.55,0.56,0.31,0.55,0.38,0.17,0.23,0.22
CHI,3,0,0,0,0,1,0.25,0,0.67,0.5,0,0,0.67,0,0,0.25,0,0
CHI,4,56,41,62,60,47,69,70,71,70,58,66,56,50,58,59,50,50
CHI,5,204,228,363,304,271,391,390,371,368,408,288,292,409,248,209,230,259
CHI,6,11,9,12,12,8,10,11,11,10,10,10,10,10,12,13,12,10
CHI,7,3.6,5.6,5.9,5.1,5.8,5.7,5.6,5.2,5.3,7,4.4,5.2,8.2,4.3,3.5,4.6,5.2
CHI,8,105,48,82,155,193,154,147,131,116,150,128,165,254,91,129,30,141
CHI,9,0.47,0.64,0.47,0.5,0.71,0.52,0.62,0.75,0.61,0.6,0.67,0.56,0.8,0.64,0.64,0.33,0.48
CHI,10,5.5,3.4,3.7,5.5,8.4,4.8,5.9,4.7,3.9,6.5,5.1,6.1,10.2,3.3,4.3,1.1,5
CHI,11,16,22,24,19,15,36,32,25,7,17,25,14,0,61,15,45,6
CHI,12,99,180,281,149,78,237,243,240,252,258,160,127,155,157,80,200,118
CHI,13,37,27,40,32,24,37,45,43,40,35,41,29,25,30,29,22,22
CHI,14,2.7,6.7,7,4.7,3.3,6.4,5.4,5.6,6.3,7.4,3.9,4.4,6.2,5.2,2.8,9.1,5.4
CHI,15,1,0.5,0.67,0,1,0,0.5,0.67,0.75,0.67,1,0.33,0.5,0.67,0.25,0.5,1
CHI,16,24,50,32,65,40,42,35,45,92,86,56,10,63,30,15,49,20
CHI,17,1,1,2,3,1,2,1,1,0,1,1,1,3,1,2,2,2
CHI,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHI,19,0.44,0.38,0.52,0.48,0.39,0.54,0.62,0.6,0.58,0.49,0.59,0.47,0.46,0.5,0.52,0.4,0.39
PIT,1,13,16,20,20,23,15,19,21,28,17,22,22,23,22,19,22,23
PIT,2,0.27,0.53,0.11,0.5,0.33,0.47,0.29,0.08,0.53,0.47,0.5,0.5,0.5,0.75,0.36,0.63,0.6
PIT,3,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0
